,7,169,"229,99",5,1,ski_alpin.jpg,4
,5,181,"199,99",3,2,ski_randone.jpg,5
,8,200,"256,99",3,3,ski_fond.jpg,2
,6,167,"231,99",4,1,ski_piste.jpg,4
,4,179,"249,99",4,2,ski_freestyle.jpg,3
,7,172,"219,99",5,3,ski_alpin.jpg,6
,4,171,"214,99",2,4,ski_freestyle.jpg,1
,8,196,"222,99",3,1,ski_fond.jpg,4
,9,142,"256,99",4,4,snowboard.jpg,7
,2,191,"168,99",3,4,ski_polyvalent.jpg,8
,1,100,"149,99",2,2,mini_ski.jpg,5
,2,186,"247,99",2,2,ski_polyvalent.jpg,3
,7,165,"178,99",2,1,ski_alpin.jpg,2
,6,150,"279,99",5,2,ski_piste.jpg,6
,2,183,"224,99",1,3,ski_polyvalent.jpg,2
,3,168,"234,99",5,4,ski_freeride.jpg,2
,6,158,"189,99",1,1,ski_piste.jpg,4
,7,178,"224,99",1,1,ski_alpin.jpg,8
,8,204,"238,99",3,4,ski_fond.jpg,9
,9,140,"248,99",4,4,snowboard.jpg,6
,6,161,"234,99",4,3,ski_piste.jpg,1
,3,178,"214,99",1,3,ski_freeride.jpg,4
,3,185,"209,99",1,3,ski_freeride.jpg,2
